Index,CO Request ID,Creation Date,FX Deal No,Deal Amount,Currency,Value Date,Business Partner,Period after CO create date,Average number of days not received by CO,Trader
0,11260,2019-10-31 00:00:00,312834,"15,000,000.00",JMD,2019-11-04 00:00:00,CITIBANK N.A,4 days 00:00:00,7 days 00:00:00,DWBROWN
1,11268,2019-11-01 00:00:00,312841,"100,000,000.00",ETB,2019-11-05 00:00:00,Commercial Bank of Ethi,4 days 00:00:00,7 days 00:00:00,DWBROWN
2,11291,2019-11-04 00:00:00,312864,"9,310,000,000.00",GNF,2019-11-06 00:00:00,Ecobank Guinee,2 days 00:00:00,5 days 00:00:00,DWBROWN
3,11319,2019-11-07 00:00:00,312891,"2,000,000,000.00",MMK,2019-11-13 00:00:00,First Private Bank Ltd.,6 days 00:00:00,9 days 00:00:00,DWBROWN
4,11395,2019-11-20 00:00:00,312982,"1,300,000,000.00",MMK,2019-11-22 00:00:00,First Private Bank Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
5,11436,2019-11-25 00:00:00,313015,"20,000,000.00",ETB,2019-11-27 00:00:00,Commercial Bank of Ethi,2 days 00:00:00,5 days 00:00:00,DWBROWN
6,11439,2019-11-25 00:00:00,313016,"11,000,000.00",JMD,2019-11-27 00:00:00,CITIBANK N.A,2 days 00:00:00,5 days 00:00:00,DWBROWN
7,11440,2019-11-25 00:00:00,313017,"1,875,000,000.00",GNF,2019-11-27 00:00:00,Ecobank Guinee,2 days 00:00:00,5 days 00:00:00,DWBROWN
8,11241,2019-10-30 00:00:00,312813,"250,000,000.00",INR,2019-11-01 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
9,11240,2019-10-30 00:00:00,312814,"15,000.00",OMR,2019-11-01 00:00:00,"HSBC Bank USA, N.A.",2 days 00:00:00,5 days 00:00:00,DWBROWN
10,11243,2019-10-30 00:00:00,312815,"600,000,000.00",RWF,2019-11-01 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
11,11242,2019-10-30 00:00:00,312816,"735,000,000.00",MWK,2019-11-01 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,DWBROWN
12,11238,2019-10-29 00:00:00,312817,"2,000,000,000.00",NGN,2019-11-01 00:00:00,ICBC Standard Bank Plc,3 days 00:00:00,6 days 00:00:00,DWBROWN
13,11244,2019-10-30 00:00:00,312818,"450,000,026.00",XOF,2019-11-01 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,DWBROWN
14,11245,2019-10-30 00:00:00,312819,"100,000,000.00",MZN,2019-11-01 00:00:00,ED&F Man Capital Market,2 days 00:00:00,5 days 00:00:00,DWBROWN
15,11246,2019-10-30 00:00:00,312820,"40,000,000.00",EGP,2019-11-01 00:00:00,Standard Chartered Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
16,11247,2019-10-30 00:00:00,312821,"8,000,000,000.00",SLL,2019-11-01 00:00:00,Standard Chartered Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
17,11252,2019-10-31 00:00:00,312822,"10,000,000.00",ZAR,2019-11-04 00:00:00,Toronto Dominion Bank,4 days 00:00:00,7 days 00:00:00,DWBROWN
18,11253,2019-10-31 00:00:00,312823,"1,500,000.00",MVR,2019-11-04 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
19,11248,2019-10-30 00:00:00,312824,"400,000,000.00",XOF,2019-11-04 00:00:00,Ecobank Transnational I,5 days 00:00:00,8 days 00:00:00,DWBROWN
20,11249,2019-10-30 00:00:00,312825,"655,957,000.00",XOF,2019-11-04 00:00:00,Standard Chartered Bank,5 days 00:00:00,8 days 00:00:00,DWBROWN
21,11251,2019-10-31 00:00:00,312826,"800,000,000.00",XAF,2019-11-04 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
22,11250,2019-10-31 00:00:00,312827,"61,950,000.00",DJF,2019-11-04 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,DWBROWN
23,11255,2019-10-31 00:00:00,312828,"241,064,198.00",KMF,2019-11-04 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,DWBROWN
24,11256,2019-10-31 00:00:00,312829,"100,000,000.00",HTG,2019-11-04 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,DWBROWN
25,11257,2019-10-31 00:00:00,312830,"1,276,600,000.00",PYG,2019-11-04 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
26,11259,2019-10-31 00:00:00,312832,"1,000,000.00",PEN,2019-11-04 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
27,11261,2019-10-31 00:00:00,312833,"3,000,000.00",MXN,2019-11-04 00:00:00,"Wells Fargo Bank, N.A.",4 days 00:00:00,7 days 00:00:00,DWBROWN
28,11258,2019-10-31 00:00:00,312835,"500,000,000.00",XAF,2019-11-04 00:00:00,ED&F Man Capital Market,4 days 00:00:00,7 days 00:00:00,DWBROWN
29,11265,2019-11-01 00:00:00,312836,"5,072,320.00",TJS,2019-11-05 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
30,11267,2019-11-01 00:00:00,312837,"150,000,000.00",XOF,2019-11-05 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,DWBROWN
31,11262,2019-11-01 00:00:00,312838,"200,000,000.00",AOA,2019-11-05 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
32,11271,2019-11-01 00:00:00,312839,"1,000,000,000.00",NGN,2019-11-05 00:00:00,Crown Agents Bank,4 days 00:00:00,7 days 00:00:00,DWBROWN
