Index,CO Request ID,Creation Date,FX Deal No.,Business Partner,Value Dt,Deal Amount,Currency,Number of Days > 3,Trader
1,11107,2019-10-09 00:00:00,312693,First Private Bank Ltd.,2019-10-16 00:00:00,"1,000,000,000.00",MMK,7 days 00:00:00,DWBROWN
7,11027,2019-09-26 00:00:00,312606,BANK OF AMERICA N.A.,2019-10-01 00:00:00,"4,255,000.00",NIO,5 days 00:00:00,DWBROWN
8,11029,2019-09-27 00:00:00,312607,"JPMorgan Chase Bank, N.",2019-10-01 00:00:00,"300,000,000.00",INR,4 days 00:00:00,DWBROWN
9,11030,2019-09-27 00:00:00,312608,ICBC Standard Bank Plc,2019-10-02 00:00:00,"2,000,000,000.00",NGN,5 days 00:00:00,DWBROWN
10,11034,2019-09-27 00:00:00,312611,Ecobank Transnational I,2019-10-01 00:00:00,"118,072,260.00",KMF,4 days 00:00:00,DWBROWN
11,11033,2019-09-27 00:00:00,312612,INTL FCStone Ltd.,2019-10-01 00:00:00,"655,957,000.00",XOF,4 days 00:00:00,DWBROWN
12,11035,2019-09-27 00:00:00,312613,"Citibank N.A., New York",2019-10-01 00:00:00,"1,000,000.00",PEN,4 days 00:00:00,DWBROWN
45,11079,2019-10-03 00:00:00,312655,Svenska Handelsbanken,2019-10-07 00:00:00,"200,000.00",ILS,4 days 00:00:00,DWBROWN
46,11073,2019-10-02 00:00:00,312656,INTL FCStone Ltd.,2019-10-07 00:00:00,"1,500,000.00",SBD,5 days 00:00:00,DWBROWN
47,11076,2019-10-03 00:00:00,312657,INTL FCStone Ltd.,2019-10-07 00:00:00,"2,000,000.00",MVR,4 days 00:00:00,DWBROWN
48,11080,2019-10-03 00:00:00,312658,"Citibank N.A., New York",2019-10-07 00:00:00,"7,000,000.00",GTQ,4 days 00:00:00,DWBROWN
49,11075,2019-10-02 00:00:00,312659,INTL FCStone Ltd.,2019-10-07 00:00:00,"435,000.00",FJD,5 days 00:00:00,DWBROWN
50,11078,2019-10-03 00:00:00,312660,BANK OF AMERICA N.A.,2019-10-07 00:00:00,"2,000,000.00",DKK,4 days 00:00:00,DWBROWN
52,11083,2019-10-03 00:00:00,312663,ICBC Standard Bank Plc,2019-10-07 00:00:00,"600,000,000.00",XAF,4 days 00:00:00,DWBROWN
53,11082,2019-10-03 00:00:00,312664,INTL FCStone Ltd.,2019-10-07 00:00:00,"100,000,000.00",MZN,4 days 00:00:00,DWBROWN
54,11084,2019-10-04 00:00:00,312666,INTL FCStone Ltd.,2019-10-11 00:00:00,"6,786,000.00",NPR,7 days 00:00:00,DWBROWN
55,11090,2019-10-04 00:00:00,312668,Crown Agents Bank,2019-10-08 00:00:00,"175,000,000.00",XAF,4 days 00:00:00,DWBROWN
56,11091,2019-10-04 00:00:00,312669,Crown Agents Bank,2019-10-08 00:00:00,"500,000,000.00",XAF,4 days 00:00:00,DWBROWN
57,11089,2019-10-04 00:00:00,312670,Standard Chartered Bank,2019-10-08 00:00:00,"8,000,000,000.00",SLL,4 days 00:00:00,DWBROWN
59,11086,2019-10-04 00:00:00,312672,INTL FCStone Ltd.,2019-10-08 00:00:00,"4,405,000,000.00",LAK,4 days 00:00:00,DWBROWN
60,11085,2019-10-04 00:00:00,312674,Crown Agents Bank,2019-10-08 00:00:00,"1,500,000.00",CNY,4 days 00:00:00,DWBROWN
61,11087,2019-10-04 00:00:00,312675,"Barclays Bank Plc , Lon",2019-10-08 00:00:00,"1,642,204.00",SZL,4 days 00:00:00,DWBROWN
79,11114,2019-10-10 00:00:00,312699,ICBC Standard Bank Plc,2019-10-15 00:00:00,"4,000,000,000.00",UGX,5 days 00:00:00,DWBROWN
80,11115,2019-10-10 00:00:00,312700,Crown Agents Bank,2019-10-15 00:00:00,"2,187,147,000.00",TZS,5 days 00:00:00,DWBROWN
81,11116,2019-10-10 00:00:00,312701,"Danske Bank, Copenhagen",2019-10-14 00:00:00,"7,000,000.00",DKK,4 days 00:00:00,DWBROWN
82,11119,2019-10-11 00:00:00,312702,Crown Agents Bank,2019-10-16 00:00:00,"50,000,000.00",MZN,5 days 00:00:00,DWBROWN
83,11117,2019-10-10 00:00:00,312703,INTL FCStone Ltd.,2019-10-16 00:00:00,"1,000,000.00",PEN,6 days 00:00:00,DWBROWN
84,11118,2019-10-10 00:00:00,312704,Ecobank Transnational I,2019-10-16 00:00:00,"500,000,000.00",XOF,6 days 00:00:00,DWBROWN
85,11120,2019-10-11 00:00:00,312705,Ecobank Transnational I,2019-10-16 00:00:00,"9,255,000,000.00",GNF,5 days 00:00:00,DWBROWN
86,11121,2019-10-11 00:00:00,312706,Standard Chartered Bank,2019-10-16 00:00:00,"6,000,000.00",GHS,5 days 00:00:00,DWBROWN
87,11124,2019-10-11 00:00:00,312707,Ecobank Transnational I,2019-10-15 00:00:00,"400,000,024.00",XOF,4 days 00:00:00,DWBROWN
88,11122,2019-10-11 00:00:00,312708,Ecobank Transnational I,2019-10-15 00:00:00,"196,787,100.00",XOF,4 days 00:00:00,DWBROWN
89,11123,2019-10-11 00:00:00,312709,INTL FCStone Ltd.,2019-10-15 00:00:00,"1,914,900,000.00",PYG,4 days 00:00:00,DWBROWN
117,11165,2019-10-17 00:00:00,312741,Crown Agents Bank,2019-10-21 00:00:00,"1,500,000,000.00",NGN,4 days 00:00:00,DWBROWN
118,11163,2019-10-17 00:00:00,312742,Crown Agents Bank,2019-10-21 00:00:00,"300,000,000.00",BDT,4 days 00:00:00,DWBROWN
119,11160,2019-10-17 00:00:00,312743,INTL FCStone Ltd.,2019-10-21 00:00:00,"1,936,000.00",TJS,4 days 00:00:00,DWBROWN
120,11159,2019-10-16 00:00:00,312744,BANK OF AMERICA N.A.,2019-10-21 00:00:00,"30,000,000.00",THB,5 days 00:00:00,DWBROWN
121,11166,2019-10-17 00:00:00,312745,INTL FCStone Ltd.,2019-10-22 00:00:00,"90,000,000.00",KES,5 days 00:00:00,DWBROWN
123,11167,2019-10-17 00:00:00,312747,"HSBC Bank USA, N.A.",2019-10-21 00:00:00,"4,000,000.00",DKK,4 days 00:00:00,DWBROWN
124,11168,2019-10-17 00:00:00,312749,ED&F Man Capital Market,2019-10-21 00:00:00,"1,300,000,000.00",XOF,4 days 00:00:00,DWBROWN
125,11169,2019-10-17 00:00:00,312750,Crown Agents Bank,2019-10-21 00:00:00,"1,810,000,000.00",MGA,4 days 00:00:00,DWBROWN
126,11170,2019-10-18 00:00:00,312751,ED&F Man Capital Market,2019-10-22 00:00:00,"294,000,000.00",MWK,4 days 00:00:00,DWBROWN
127,11172,2019-10-18 00:00:00,312752,INTL FCStone Ltd.,2019-10-22 00:00:00,"15,000,000.00",GMD,4 days 00:00:00,DWBROWN
128,11174,2019-10-18 00:00:00,312753,Royal Bank of Canada,2019-10-22 00:00:00,"310,000.00",ILS,4 days 00:00:00,DWBROWN
129,11173,2019-10-18 00:00:00,312754,INTL FCStone Ltd.,2019-10-22 00:00:00,"2,189,750,000.00",TZS,4 days 00:00:00,DWBROWN
